@relation german_credit

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute other_parties {none,'co applicant',guarantor}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute class {good,bad}

@data
<0,6,'critical/other existing credit',1169,none,2,skilled,good
0<=X<200,48,'existing paid',5951,none,1,skilled,bad
'no checking',12,'critical/other existing credit',2096,none,1,'unskilled resident',good
<0,42,'existing paid',7882,guarantor,1,skilled,good
<0,24,'delayed previously',4870,none,2,skilled,bad
'no checking',36,'existing paid',9055,none,1,'unskilled resident',good
'no checking',24,'existing paid',2835,none,1,skilled,good
0<=X<200,36,'existing paid',6948,none,1,'high qualif/self emp/mgmt',good
'no checking',12,'existing paid',3059,none,1,'unskilled resident',good
0<=X<200,30,'critical/other existing credit',5234,none,2,'high qualif/self emp/mgmt',bad
0<=X<200,12,'existing paid',1295,none,1,skilled,bad
<0,48,'existing paid',4308,none,1,skilled,bad
0<=X<200,12,'existing paid',1567,none,1,skilled,good
<0,24,'critical/other existing credit',1199,none,2,'unskilled resident',bad
<0,15,'existing paid',1403,none,1,skilled,good
<0,24,'existing paid',1282,none,1,'unskilled resident',bad
'no checking',24,'critical/other existing credit',2424,none,2,skilled,good
<0,30,'no credits/all paid',8072,none,3,skilled,good
0<=X<200,24,'existing paid',12579,none,1,'high qualif/self emp/mgmt',bad
'no checking',24,'existing paid',3430,none,1,skilled,good
'no checking',9,'critical/other existing credit',2134,none,3,skilled,good
<0,6,'existing paid',2647,none,1,skilled,good
<0,10,'critical/other existing credit',2241,none,2,'unskilled resident',good
0<=X<200,12,'critical/other existing credit',1804,none,1,skilled,good
'no checking',10,'critical/other existing credit',2069,none,2,skilled,good
<0,6,'existing paid',1374,none,1,'unskilled resident',good
'no checking',6,'no credits/all paid',426,none,1,'unskilled resident',good
>=200,12,'all paid',409,none,2,skilled,good
0<=X<200,7,'existing paid',2415,guarantor,1,skilled,good
<0,60,'delayed previously',6836,none,2,skilled,bad
0<=X<200,18,'existing paid',1913,none,1,skilled,good
<0,24,'existing paid',4020,none,1,skilled,good
0<=X<200,18,'existing paid',5866,none,2,skilled,good
'no checking',12,'critical/other existing credit',1264,none,1,'unskilled resident',good
>=200,12,'existing paid',1474,none,1,'high qualif/self emp/mgmt',good
0<=X<200,45,'critical/other existing credit',4746,none,2,'unskilled resident',bad
'no checking',48,'critical/other existing credit',6110,none,1,skilled,good
>=200,18,'existing paid',2100,'co applicant',1,skilled,bad
>=200,10,'existing paid',1225,none,1,skilled,good
0<=X<200,9,'existing paid',458,none,1,skilled,good
'no checking',30,'existing paid',2333,none,1,'high qualif/self emp/mgmt',good
0<=X<200,12,'existing paid',1158,none,1,skilled,good
0<=X<200,18,'delayed previously',6204,none,1,'unskilled resident',good
<0,30,'critical/other existing credit',6187,none,2,skilled,good
<0,48,'critical/other existing credit',6143,none,2,'unskilled resident',bad
'no checking',11,'critical/other existing credit',1393,none,2,'high qualif/self emp/mgmt',good
'no checking',36,'existing paid',2299,none,1,skilled,good
<0,6,'existing paid',1352,none,1,'unemp/unskilled non res',good
'no checking',11,'critical/other existing credit',7228,none,2,'unskilled resident',good
'no checking',12,'existing paid',2073,'co applicant',1,skilled,good
0<=X<200,24,'delayed previously',2333,none,1,'unskilled resident',good
0<=X<200,27,'delayed previously',5965,none,2,'high qualif/self emp/mgmt',good
'no checking',12,'existing paid',1262,none,1,skilled,good
'no checking',18,'existing paid',3378,none,1,skilled,good
0<=X<200,36,'delayed previously',2225,none,2,skilled,bad
'no checking',6,'all paid',783,guarantor,1,'unskilled resident',good
0<=X<200,12,'existing paid',6468,none,1,'high qualif/self emp/mgmt',bad
'no checking',36,'critical/other existing credit',9566,none,2,skilled,good
>=200,18,'existing paid',1961,none,1,'high qualif/self emp/mgmt',good
<0,36,'critical/other existing credit',6229,'co applicant',2,'unskilled resident',bad
0<=X<200,9,'existing paid',1391,none,1,skilled,good
0<=X<200,15,'critical/other existing credit',1537,guarantor,2,skilled,good
0<=X<200,36,'no credits/all paid',1953,none,1,'high qualif/self emp/mgmt',bad
0<=X<200,48,'no credits/all paid',14421,none,1,skilled,bad
'no checking',24,'existing paid',3181,none,1,skilled,good
'no checking',27,'existing paid',5190,none,4,skilled,good
'no checking',12,'existing paid',2171,none,1,skilled,good
0<=X<200,12,'existing paid',1007,none,1,skilled,good
'no checking',36,'existing paid',1819,none,1,skilled,bad
'no checking',36,'existing paid',2394,none,1,skilled,good
'no checking',36,'existing paid',8133,none,1,skilled,good
'no checking',7,'critical/other existing credit',730,none,2,'unskilled resident',good
<0,8,'critical/other existing credit',1164,none,2,'high qualif/self emp/mgmt',good
0<=X<200,42,'critical/other existing credit',5954,none,2,'unskilled resident',good
<0,36,'existing paid',1977,none,1,'high qualif/self emp/mgmt',bad
<0,12,'critical/other existing credit',1526,none,2,'high qualif/self emp/mgmt',good
<0,42,'existing paid',3965,none,1,skilled,bad
0<=X<200,11,'delayed previously',4771,none,1,skilled,good
'no checking',54,'no credits/all paid',9436,none,1,'unskilled resident',good
0<=X<200,30,'existing paid',3832,none,1,skilled,good
'no checking',24,'existing paid',5943,none,2,skilled,bad
'no checking',15,'existing paid',1213,none,1,skilled,good
'no checking',18,'existing paid',1568,none,1,'unskilled resident',good
<0,24,'existing paid',1755,guarantor,1,'unskilled resident',good
<0,10,'existing paid',2315,none,1,'unskilled resident',good
'no checking',12,'critical/other existing credit',1412,guarantor,2,'high qualif/self emp/mgmt',good
0<=X<200,18,'critical/other existing credit',1295,none,2,skilled,good
0<=X<200,36,'existing paid',12612,none,1,skilled,bad
<0,18,'existing paid',2249,none,1,'high qualif/self emp/mgmt',good
<0,12,'no credits/all paid',1108,none,2,skilled,bad
'no checking',12,'critical/other existing credit',618,none,1,skilled,good
<0,12,'critical/other existing credit',1409,none,1,skilled,good
'no checking',12,'critical/other existing credit',797,none,1,'unskilled resident',bad
>=200,24,'critical/other existing credit',3617,'co applicant',2,skilled,good
0<=X<200,12,'existing paid',1318,none,1,skilled,good
0<=X<200,54,'no credits/all paid',15945,none,1,skilled,bad
'no checking',12,'critical/other existing credit',2012,none,1,skilled,good
0<=X<200,18,'existing paid',2622,none,1,skilled,good
0<=X<200,36,'critical/other existing credit',2337,none,1,skilled,good
0<=X<200,20,'delayed previously',7057,none,2,'high qualif/self emp/mgmt',good
'no checking',24,'existing paid',1469,none,1,'unskilled resident',good
0<=X<200,36,'existing paid',2323,none,1,skilled,good
'no checking',6,'delayed previously',932,none,1,skilled,good
0<=X<200,9,'critical/other existing credit',1919,none,1,skilled,good
'no checking',12,'existing paid',2445,none,1,skilled,good
0<=X<200,24,'critical/other existing credit',11938,'co applicant',2,'high qualif/self emp/mgmt',bad
'no checking',18,'all paid',6458,none,2,'high qualif/self emp/mgmt',bad
0<=X<200,12,'existing paid',6078,none,1,skilled,good
<0,24,'existing paid',7721,none,1,skilled,good
0<=X<200,14,'existing paid',1410,none,1,skilled,good
0<=X<200,6,'delayed previously',1449,none,2,skilled,good
>=200,15,'existing paid',392,none,1,skilled,good
0<=X<200,18,'existing paid',6260,none,1,'unskilled resident',good
'no checking',36,'critical/other existing credit',7855,none,2,skilled,bad
<0,12,'existing paid',1680,none,1,skilled,good
'no checking',48,'critical/other existing credit',3578,none,1,skilled,good
<0,42,'existing paid',7174,none,1,'high qualif/self emp/mgmt',bad
<0,10,'critical/other existing credit',2132,'co applicant',2,skilled,good
<0,33,'critical/other existing credit',4281,none,2,skilled,bad
0<=X<200,12,'critical/other existing credit',2366,none,1,'high qualif/self emp/mgmt',good
<0,21,'existing paid',1835,none,2,skilled,bad
'no checking',24,'critical/other existing credit',3868,none,2,'high qualif/self emp/mgmt',good
'no checking',12,'existing paid',1768,none,1,'unskilled resident',good
>=200,10,'critical/other existing credit',781,none,2,skilled,good
0<=X<200,18,'existing paid',1924,none,1,skilled,bad
<0,12,'critical/other existing credit',2121,none,2,skilled,good
<0,12,'existing paid',701,none,1,'unskilled resident',good
0<=X<200,12,'existing paid',639,none,1,skilled,bad
0<=X<200,12,'critical/other existing credit',1860,none,2,'high qualif/self emp/mgmt',good
<0,12,'critical/other existing credit',3499,'co applicant',2,skilled,bad
0<=X<200,48,'existing paid',8487,none,1,skilled,good
<0,36,'delayed previously',6887,none,1,skilled,bad
'no checking',15,'existing paid',2708,none,2,'unskilled resident',good
'no checking',18,'existing paid',1984,none,2,skilled,good
'no checking',60,'existing paid',10144,none,1,skilled,good
'no checking',12,'critical/other existing credit',1240,none,2,skilled,good
'no checking',27,'delayed previously',8613,none,2,skilled,good
0<=X<200,12,'existing paid',766,none,1,'unskilled resident',bad
0<=X<200,15,'critical/other existing credit',2728,guarantor,3,skilled,good
>=200,12,'existing paid',1881,none,1,'unskilled resident',good
>=200,6,'existing paid',709,none,1,'unemp/unskilled non res',good
0<=X<200,36,'existing paid',4795,none,1,'high qualif/self emp/mgmt',good
<0,27,'existing paid',3416,none,1,'high qualif/self emp/mgmt',good
<0,18,'existing paid',2462,none,1,skilled,bad
'no checking',21,'critical/other existing credit',2288,none,1,skilled,good
0<=X<200,48,'all paid',3566,none,1,skilled,good
<0,6,'critical/other existing credit',860,none,2,skilled,good
'no checking',12,'critical/other existing credit',682,none,2,skilled,good
<0,36,'critical/other existing credit',5371,guarantor,2,skilled,good
'no checking',18,'critical/other existing credit',1582,none,2,skilled,good
'no checking',6,'existing paid',1346,none,1,skilled,good
'no checking',10,'existing paid',1924,none,1,skilled,good
>=200,36,'existing paid',5848,none,1,skilled,good
0<=X<200,24,'critical/other existing credit',7758,none,1,skilled,good
0<=X<200,24,'delayed previously',6967,none,1,'high qualif/self emp/mgmt',good
<0,12,'existing paid',1282,none,1,skilled,bad
<0,9,'critical/other existing credit',1288,guarantor,2,skilled,good
<0,12,'all paid',339,none,1,'unskilled resident',good
0<=X<200,24,'existing paid',3512,none,2,skilled,good
'no checking',6,'critical/other existing credit',1898,none,2,'unskilled resident',good
'no checking',24,'critical/other existing credit',2872,none,1,skilled,good
'no checking',18,'critical/other existing credit',1055,none,2,skilled,good
'no checking',15,'existing paid',1262,none,2,skilled,good
0<=X<200,10,'existing paid',7308,none,1,'high qualif/self emp/mgmt',good
'no checking',36,'existing paid',909,none,1,skilled,good
'no checking',6,'existing paid',2978,none,1,skilled,good
<0,18,'existing paid',1131,none,1,skilled,bad
0<=X<200,11,'existing paid',1577,none,1,skilled,good
'no checking',24,'existing paid',3972,none,1,skilled,good
0<=X<200,24,'critical/other existing credit',1935,none,2,skilled,bad
<0,15,'no credits/all paid',950,none,2,skilled,bad
'no checking',12,'existing paid',763,none,1,skilled,good
0<=X<200,24,'delayed previously',2064,none,1,'high qualif/self emp/mgmt',bad
0<=X<200,8,'existing paid',1414,guarantor,1,skilled,good
<0,21,'delayed previously',3414,none,2,skilled,bad
'no checking',30,'all paid',7485,none,1,'high qualif/self emp/mgmt',bad
<0,12,'existing paid',2577,none,1,skilled,good
<0,6,'critical/other existing credit',338,none,2,skilled,good
'no checking',12,'existing paid',1963,none,2,'high qualif/self emp/mgmt',good
<0,21,'critical/other existing credit',571,none,2,skilled,good
'no checking',36,'delayed previously',9572,none,2,skilled,bad
0<=X<200,36,'delayed previously',4455,none,2,'high qualif/self emp/mgmt',bad
<0,21,'all paid',1647,none,2,'unskilled resident',bad
'no checking',24,'critical/other existing credit',3777,none,1,skilled,good
0<=X<200,18,'critical/other existing credit',884,none,1,skilled,bad
'no checking',15,'critical/other existing credit',1360,none,2,skilled,good
0<=X<200,9,'all paid',5129,none,1,'high qualif/self emp/mgmt',bad
0<=X<200,16,'critical/other existing credit',1175,none,3,'unemp/unskilled non res',good
<0,12,'existing paid',674,none,1,skilled,bad
0<=X<200,18,'no credits/all paid',3244,none,2,skilled,good
'no checking',24,'existing paid',4591,none,3,'high qualif/self emp/mgmt',bad
0<=X<200,48,'no credits/all paid',3844,none,1,'unskilled resident',bad
0<=X<200,27,'existing paid',3915,none,1,skilled,bad
'no checking',6,'existing paid',2108,none,1,skilled,good
0<=X<200,45,'existing paid',3031,guarantor,1,skilled,bad
0<=X<200,9,'critical/other existing credit',1501,none,2,'high qualif/self emp/mgmt',bad
'no checking',6,'critical/other existing credit',1382,none,2,skilled,good
0<=X<200,12,'existing paid',951,none,4,skilled,bad
0<=X<200,24,'existing paid',2760,none,1,skilled,good
0<=X<200,18,'delayed previously',4297,none,1,'high qualif/self emp/mgmt',bad
'no checking',9,'critical/other existing credit',936,none,2,skilled,good
<0,12,'existing paid',1168,none,1,'unskilled resident',good
'no checking',27,'delayed previously',5117,none,2,skilled,good
<0,12,'existing paid',902,none,1,skilled,bad
'no checking',12,'critical/other existing credit',1495,none,2,'unskilled resident',good
<0,30,'critical/other existing credit',10623,none,3,'high qualif/self emp/mgmt',good
'no checking',12,'critical/other existing credit',1935,none,3,skilled,good
0<=X<200,12,'critical/other existing credit',1424,none,1,skilled,good
<0,24,'existing paid',6568,none,1,'unskilled resident',good
'no checking',12,'existing paid',1413,none,1,skilled,good
'no checking',9,'critical/other existing credit',3074,none,2,skilled,good
'no checking',36,'existing paid',3835,none,1,'unskilled resident',good
<0,27,'no credits/all paid',5293,none,2,skilled,bad
>=200,30,'delayed previously',1908,none,1,'high qualif/self emp/mgmt',bad
'no checking',36,'critical/other existing credit',3342,none,1,skilled,good
0<=X<200,6,'critical/other existing credit',932,none,2,'unskilled resident',good
<0,18,'no credits/all paid',3104,none,1,skilled,good
